fps,explained_variance,policy_loss,n_updates,ep_reward_mean,serial_timesteps,value_loss,policy_entropy,approxkl,total_timesteps,time_elapsed,clipfrac,ep_len_mean
333,0.9923245296813548,-0.0007147114,156,65.48,319488,1.7986524,0.57793665,0.003187004,319488,944.8135132789612,0.03364258,195.35
329,0.9826972708106041,-0.00033552613,157,67.3,321536,6.0950446,0.5679152,0.0038318676,321536,950.9548132419586,0.043066405,197.51
329,0.9837739188224077,-0.0015223783,158,70.33,323584,3.625981,0.55825543,0.0050330656,323584,957.1760141849518,0.061425783,200.88
331,0.9874472068622708,-0.0013106742,159,67.53,325632,1.1203033,0.55048317,0.008315005,325632,963.3981049060822,0.099804685,199.2
330,0.9896582216024399,0.0003928993,160,70.22,327680,1.3980953,0.5472046,0.004428533,327680,969.5705673694611,0.051757812,199.87
331,0.9915279010310769,0.0010432152,161,68.67,329728,1.0627933,0.5478951,0.0039931377,329728,975.776040315628,0.045898438,199.16
330,0.9819083474576473,2.5066543e-05,162,68.16,331776,3.004926,0.5409297,0.0042151986,331776,981.9594571590424,0.047802735,199.17
330,0.9947261302731931,1.2670166e-05,163,66.92,333824,0.9322547,0.533387,0.004553281,333824,988.1536681652069,0.052978516,198.01
331,0.9912514686584473,0.0005900845,164,69.47,335872,2.2923756,0.5277711,0.0063640187,335872,994.3517739772797,0.07978515,201.31
331,0.9915279597043991,-0.0004292444,165,68.2,337920,1.4944408,0.5188828,0.0042435885,337920,1000.5269062519073,0.046826173,200.63
333,0.9953109500929713,-0.00076571584,166,63.76,339968,0.54591864,0.5145463,0.0035846904,339968,1006.7127542495728,0.0362793,196.19
332,0.9920028690248728,-0.002299008,167,62.94,342016,2.1118686,0.5080357,0.0056201457,342016,1012.8652188777924,0.066064455,195.62
325,0.9913523430004716,0.0007763113,168,65.9,344064,2.7306051,0.49300504,0.0050435057,344064,1019.0339996814728,0.056933593,198.27
329,0.9947010101750493,0.000809873,169,67.63,346112,0.8289423,0.48432478,0.0061403774,346112,1025.3310778141022,0.07490234,200.15
329,0.9934386177919805,-0.00037503932,170,69.68,348160,1.2873278,0.48132095,0.004413968,348160,1031.5422518253326,0.05,202.73
329,0.9950043251737952,-0.0007367213,171,71.59,350208,1.1462002,0.48574534,0.004260724,350208,1037.7635078430176,0.049609374,203.49
328,0.9959372663870454,0.00028384587,172,71.66,352256,0.4020328,0.4961184,0.004753927,352256,1043.9781730175018,0.05756836,203.3
327,0.9938494027592242,-0.0009904035,173,73.56,354304,1.8733838,0.49440208,0.008037092,354304,1050.2231698036194,0.09331055,205.91
326,0.992274422198534,8.674971e-05,174,71.69,356352,2.0259438,0.486029,0.004429064,356352,1056.4761190414429,0.047265626,203.97
329,0.9935160833410919,7.21117e-05,175,73.2,358400,1.6293595,0.4766972,0.004084964,358400,1062.7488329410553,0.045458984,205.65
329,0.9961201201658696,-0.0013933697,176,73.7,360448,0.45665607,0.47633082,0.006528884,360448,1068.9734120368958,0.08325195,206.48
337,0.9974306696094573,-0.0069944807,177,71.96,362496,0.37247854,0.46962005,0.0067642466,362496,1075.1968948841095,0.08642578,205.7
328,0.9936959920451045,-0.00044072996,178,69.37,364544,1.5992261,0.46435386,0.0053290715,364544,1081.2722358703613,0.06201172,204.12
328,0.9963687837589532,-0.00090107403,179,70.59,366592,0.63876045,0.455913,0.004285156,366592,1087.5058467388153,0.047460936,205.25
331,0.9977729097008705,-0.0009414718,180,69.47,368640,0.31546822,0.44699222,0.0065645226,368640,1093.7436623573303,0.08227539,204.1
332,0.9909018501639366,0.0008975935,181,66.97,370688,1.2329357,0.4500862,0.0032563345,370688,1099.9312357902527,0.036035158,203.84
