n_updates,approxkl,time_elapsed,serial_timesteps,explained_variance,policy_entropy,policy_loss,fps,total_timesteps,ep_reward_mean,ep_len_mean,clipfrac,value_loss
149,0.0011710213,990.7822771072388,305152,-0.004149675369262695,2.3232894,-0.0005155949,294,305152,1503.5274128600004,1600.53,0.0064453124,18.337076
150,0.002761666,997.734023809433,307200,-0.007154107093811035,2.3396363,-0.00090221094,296,307200,1517.6352148600004,1615.26,0.027392577,18.442003
151,0.0046593826,1004.6452372074127,309248,0.06123155355453491,2.3556373,-0.0019284353,295,309248,1531.54156239,1629.68,0.05986328,17.948671
152,0.0020041792,1011.5789997577667,311296,0.126018226146698,2.370688,5.5355886e-05,297,311296,1546.2472423600002,1645.26,0.01845703,17.591303
153,0.0031316013,1018.459395647049,313344,-0.0019096136093139648,2.3815098,-0.002561148,295,313344,1559.1304084099997,1658.86,0.034423828,18.64033
154,0.002855305,1025.3928170204163,315392,0.4893815517425537,2.382235,-0.001149619,295,315392,1572.55146128,1672.87,0.02631836,18.235771
155,0.003049824,1032.3323101997375,317440,0.7250779867172241,2.3806934,-0.0016018109,296,317440,1582.6134015499995,1683.53,0.026660156,8.514456
156,0.0040687136,1039.2480721473694,319488,0.015133857727050781,2.3965087,-0.0049862224,297,319488,1594.0996231099998,1695.18,0.05126953,18.959436
157,0.0022562358,1046.1325242519379,321536,0.9274674206972122,2.4046106,-0.0026023744,295,321536,1619.5102370299999,1721.91,0.013623047,46.155254
158,0.0022081526,1053.0697815418243,323584,0.1521415114402771,2.3948884,-0.0012670935,292,323584,1633.12317633,1736.31,0.021533202,17.040434
159,0.0025840146,1060.0667645931244,325632,0.037166059017181396,2.389475,-0.00043692702,294,325632,1645.05974834,1748.48,0.023388673,18.69216
160,0.002190649,1067.0308902263641,327680,0.3446919918060303,2.3912835,-0.00077983446,295,327680,1657.1773968300001,1761.07,0.022753906,15.504137
161,0.0019362587,1073.9681153297424,329728,0.22462910413742065,2.402845,-0.000121776866,297,329728,1670.49929458,1774.98,0.015136719,15.86701
162,0.0013512932,1080.8623633384705,331776,0.7098404765129089,2.4093788,-0.00097308017,297,331776,1676.0585670300002,1781.18,0.010351563,11.074294
163,0.0035843677,1087.753564119339,333824,0.021130084991455078,2.4128869,-0.0009796026,299,333824,1689.7712953100004,1795.5,0.04375,18.456667
164,0.003805905,1094.5976419448853,335872,0.6843878030776978,2.4292922,-0.0024097254,305,335872,1700.64119162,1807.63,0.042871095,11.650564
165,0.002023151,1101.3059539794922,337920,0.08307749032974243,2.4281313,-0.0013123297,309,337920,1712.6936152500002,1820.16,0.01508789,19.063627
166,0.002531027,1107.9308047294617,339968,0.8594502806663513,2.4198766,-0.0015628336,298,339968,1703.6180190300001,1809.86,0.024853516,11.043069
167,0.00406391,1114.796709537506,342016,0.617789626121521,2.4189007,-0.002571147,300,342016,1708.2676880100003,1814.9,0.044677734,17.757385
168,0.004245272,1121.617784500122,344064,0.4805060625076294,2.400476,-0.003256856,303,344064,1715.11725588,1822.01,0.043945312,14.048628
169,0.003349933,1128.3772954940796,346112,0.6890850067138672,2.3968797,-0.0029859701,300,346112,1717.80244251,1824.4,0.035351563,9.362323
170,0.0046686623,1135.1939656734467,348160,0.6097403168678284,2.3982036,-0.0045864442,300,348160,1733.2251309500002,1840.37,0.055517577,26.09284
171,0.006927925,1142.0221269130707,350208,0.23695331811904907,2.4079518,-0.0059142285,301,350208,1735.05256448,1842.35,0.08979492,16.898895
172,0.0032849077,1148.825844526291,352256,0.14278483390808105,2.4242966,-0.00092281646,298,352256,1746.1983694,1853.73,0.034375,17.83361
173,0.0031982805,1155.6916179656982,354304,0.024426400661468506,2.4333994,-0.0008733012,298,354304,1753.7340540699997,1861.26,0.028320312,18.637388
174,0.0030724793,1162.5640165805817,356352,-0.01601552963256836,2.4423807,-0.0007658186,301,356352,1760.0810931199999,1867.39,0.03046875,19.19663
175,0.00431455,1169.3522491455078,358400,0.09982740879058838,2.4472098,-0.0024056057,300,358400,1768.8640942499999,1875.99,0.052099608,17.88594
176,0.003313829,1176.1668465137482,360448,0.07037949562072754,2.4444747,-0.001739144,300,360448,1775.4711373100001,1882.8,0.03955078,18.330408
177,0.0034129447,1182.9747321605682,362496,0.027476489543914795,2.446505,-0.00095290504,303,362496,1776.33317813,1882.8,0.037353516,18.938297
178,0.003906632,1189.7297294139862,364544,0.005521535873413086,2.4516883,-0.0017784655,297,364544,1776.96876754,1882.8,0.04609375,18.947
179,0.0013732638,1196.622074842453,366592,0.09263807535171509,2.4496963,-0.0012317162,296,366592,1777.28774732,1882.8,0.009082031,18.345112
180,0.0035345678,1203.5397281646729,368640,0.16889935731887817,2.4515939,-0.00026680855,298,368640,1777.62163255,1882.8,0.04194336,17.6898
181,0.0027009645,1210.3982639312744,370688,0.030237317085266113,2.4642155,-0.0016213919,298,370688,1777.6503493400003,1882.8,0.02631836,18.298952
182,0.0021976246,1217.2684710025787,372736,0.11615622043609619,2.4656734,-0.00034673756,295,372736,1785.3845914300002,1890.51,0.018603515,17.727396
183,0.0020576962,1224.1978673934937,374784,0.03987079858779907,2.4642172,-0.0007059354,297,374784,1785.5741958299998,1890.51,0.0171875,18.675423
184,0.005007821,1231.082397222519,376832,0.0025510191917419434,2.4823923,-0.0018141487,295,376832,1788.7103854399998,1893.12,0.06044922,19.069145
185,0.0007774168,1238.005138874054,378880,0.8404070436954498,2.492229,-0.0003993054,297,378880,1788.9818753599995,1893.12,0.0029785156,29.709497
186,0.0020048388,1244.893322944641,380928,0.027376234531402588,2.4927077,2.9307498e-06,292,380928,1793.4915218899998,1897.59,0.017382812,18.799938
187,0.0054598213,1251.88724899292,382976,0.061782658100128174,2.5170932,-0.005721294,294,382976,1800.1744186199999,1904.3,0.06352539,18.090214
188,0.00291691,1258.849534034729,385024,0.15569210052490234,2.5401824,-0.0022224975,297,385024,1805.4089324299996,1909.51,0.029345702,17.66248
189,0.0033546004,1265.7360775470734,387072,0.05853867530822754,2.5595434,-0.0037968692,299,387072,1812.9523434299997,1917.23,0.037890624,18.260567
190,0.0045519597,1272.5714373588562,389120,0.03346538543701172,2.579533,-0.0022590943,299,389120,1819.5272395399995,1923.71,0.05673828,18.483475
191,0.0019957165,1279.4035098552704,391168,0.16208642721176147,2.589522,-0.0022492087,301,391168,1831.2746455099998,1936.11,0.017236328,17.974926
