serial_timesteps,explained_variance,total_timesteps,approxkl,policy_entropy,clipfrac,fps,policy_loss,n_updates,time_elapsed,value_loss,ep_len_mean,ep_reward_mean
235520,0.8753539025783539,235520,0.0040302207,1.3744935,0.047460936,119,-0.0022051425,115,1281.2617933750153,7.34582,2109.8,872.53721094
237568,0.8704849481582642,237568,0.0047664866,1.3847411,0.05415039,139,-0.007177497,116,1298.4731945991516,7.9919558,2066.57,869.6264628900001
239616,0.8505467772483826,239616,0.004993146,1.3981385,0.059179686,131,-0.001068081,117,1313.167388677597,6.957648,2037.43,867.4653964900001
241664,0.8389590829610825,241664,0.0032488643,1.413928,0.034472656,113,-0.0021487575,118,1328.7844171524048,10.073503,1861.46,835.0687910199998
243712,0.8310306519269943,243712,0.00517284,1.422702,0.06225586,111,-0.0066104955,119,1346.774517774582,8.5987,1740.35,805.2558203199999
245760,0.87997255474329,245760,0.0031887933,1.424151,0.03413086,139,-0.0021089446,120,1365.1555230617523,5.8649683,1692.53,789.9785761899999
247808,0.8477086573839188,247808,0.0041433494,1.4294702,0.050195314,122,-0.0048371246,121,1379.883945465088,8.431922,1653.7,777.8154257900001
249856,0.8782139122486115,249856,0.0029899294,1.4253088,0.03178711,120,-0.0016950391,122,1396.5456767082214,7.570501,1465.85,684.9375644600003
251904,0.8242006748914719,251904,0.0041998005,1.4252591,0.048779298,120,-0.0037084606,123,1413.4787237644196,11.285362,1371.18,640.9003652299999
253952,0.8602403849363327,253952,0.0045790737,1.4321448,0.05258789,141,-0.00401702,124,1430.4135336875916,7.0066404,1344.11,633.09460546
256000,0.7865844368934631,256000,0.0032622726,1.4263693,0.03173828,113,-0.0018425083,125,1444.9293613433838,13.653079,1245.8,599.6024433500002
258048,0.8856964558362961,258048,0.0045603095,1.4142519,0.05341797,125,-0.00079183106,126,1462.9235746860504,6.920312,1178.72,563.90657616
260096,0.8584845960140228,260096,0.0033933953,1.410615,0.035546876,118,-0.00076806394,127,1479.2347111701965,8.366426,999.23,461.0065390500001
262144,0.7892112284898758,262144,0.0036972263,1.4073967,0.03881836,125,-0.0015485538,128,1496.5505583286285,11.659125,894.93,404.84310546
264192,0.8974868133664131,264192,0.0037422988,1.4140882,0.046484374,126,-0.002121683,129,1512.8924553394318,5.2030525,854.95,385.8018046799999
266240,0.8456239998340607,266240,0.0044837813,1.420043,0.050732423,112,-0.0018594771,130,1529.1328790187836,10.833399,842.57,381.88145117999994
268288,0.8858362585306168,268288,0.0032151372,1.4217947,0.033984374,117,-0.00013872578,131,1547.3732590675354,6.9204416,832.54,377.89995705
270336,0.7819243371486664,270336,0.0034950129,1.4167,0.038378906,116,0.0008584863,132,1564.7644276618958,12.581375,824.31,376.16416213
272384,0.8640586286783218,272384,0.0057039815,1.4147325,0.062304687,180,-0.0026137386,133,1582.2722525596619,5.038881,822.23,375.4275508
